"Name","Classification","Homepage","SocialMedia","Locality","Lat","Lng","Address","Country","Description","SupportRequest","SupportOffer","Hotline","Tags","Notes","ListingSource","ListingSourceId","ListingSourceUpdated"
"COVID19 Love- San Francisco","","https://docs.google.com/forms/d/e/1FAIpQLSfyYeYDPAzKjywTz8T63vqxettyc40cgvOfugj8mN5SIgaOFA/viewform","","San Francisco, CA",37.7648,-122.463,"San Francisco, California, United States","USA","","https://docs.google.com/forms/d/e/1FAIpQLSfyYeYDPAzKjywTz8T63vqxettyc40cgvOfugj8mN5SIgaOFA/viewform","https://docs.google.com/forms/d/e/1FAIpQLSfyYeYDPAzKjywTz8T63vqxettyc40cgvOfugj8mN5SIgaOFA/viewform","","","","mutualaidhub.org","738",
"Williams College Mutual Aid","","https://docs.google.com/forms/d/e/1FAIpQLSdeS2RWIjqvFmj6QiY2ur9P1rogCjrlAtMQgDwLxeMZKR4Ytg/viewform","","Williamstown, MA",42.7122,-73.2036,"Williamstown, Massachusetts, United States","USA","","","https://docs.google.com/forms/d/e/1FAIpQLSdeS2RWIjqvFmj6QiY2ur9P1rogCjrlAtMQgDwLxeMZKR4Ytg/viewform","","","","mutualaidhub.org","739",
"Klamath Siskiyou Mutual Aid Network","FacebookMutualAid","https://www.facebook.com/groups/218700056182795/?ref=br_rs","https://www.facebook.com/groups/218700056182795/?ref=br_rs","Siskiyou County, Yreka, CA",41.7326,-122.6378,"Yreka, California, United States","USA","","","","","","","mutualaidhub.org","740",
"Elmhurst Tackles COVID-19 (ETC 19)","FacebookMutualAid","https://www.facebook.com/groups/2749440901818281/?ref=bookmarks","https://www.facebook.com/groups/2749440901818281/?ref=bookmarks","Elmhurst, IL",41.8995,-87.9403,"Elmhurst, Illinois, United States","USA","","","","","","","mutualaidhub.org","741",
"Minnesota / Minneapolis–Saint Paul: Twin Cities Queer and Trans Mutual Aid","","https://docs.google.com/forms/d/e/1FAIpQLSdAlOLU9hOKMjwX4W2sQKF69FAF3ow_fSPzjKC67_iyYDRLaQ/viewform","","Minneapolis, MN",44.9773,-93.2655,"Minneapolis, Minnesota, United States","USA","","https://docs.google.com/forms/d/e/1FAIpQLSdAlOLU9hOKMjwX4W2sQKF69FAF3ow_fSPzjKC67_iyYDRLaQ/viewform","","","","","mutualaidhub.org","742",
"COVID-19 Resource Spreadsheet - Durham","","https://docs.google.com/spreadsheets/d/1oASQ_jeqC578BvcTtRLv7mj59TVJlR3Mx1LSTXaNpr0/edit?usp=drivesdk","","Durham, NC",35.994,-78.8986,"Durham, North Carolina, USA","USA","","","","","","","mutualaidhub.org","743",
"Kentucky / Lexington: Mutual Aid Lexington Kentucky","","https://docs.google.com/forms/d/e/1FAIpQLSeP4koOM1yO-tb6VicTWjZhCHTSrarceghikJROf6QL2Nc8eQ/viewform?fbclid=IwAR36e-f2AdpyseehKsQ-0NqfPLyOV-2PP0d6d3rEDgZO2O_u1ykne77n2po","https://www.facebook.com/groups/199450304659978/","Lexington, KY",38.0464,-84.497,"Lexington, Kentucky, USA","USA","","","","","","","mutualaidhub.org","744",
"Neighbors4Seniors","","https://www.Neighbors4Seniors.com","","Wayland, MA",42.3632,-71.3607,"Wayland, Massachusetts, United States","USA","","","https://www.wayland.info/rsvpmaker/wayland-call-seniors-volunteer-long-term/","","","","mutualaidhub.org","745",
"Apart Not Alone - Baltimore","","https://apartnotalone.com/","","Baltimore, MD",39.2909,-76.6108,"Baltimore, Maryland, United States","USA","","","","","","","mutualaidhub.org","746",
"Petworth mutual aid volunteer sign-up","","https://docs.google.com/forms/d/e/1FAIpQLSciJvF5ei9_IoWFpJo7I7rBFB8b-CjCzOxzLE3tBscOb4m98Q/closedform","","Petworth, DC, Washington, DC",38.895,-77.0366,"Washington, DC, United States","USA","","","","","","","mutualaidhub.org","747",
