"Name","Listing Source","Homepage","OfferOrRequestForm","SocialMedia","City","State","Country","Address"
"coronavirus community care: amwa
local north east la (nela) / midcity / koreatown","","https://docs.google.com/document/d/1qP-9JQ8n2O0yKtOicmq1fefGapdAXn0TmANA1lwF15g/edit#heading=h.80woo1dqgv5s","","","Los Angeles","CA","USA","Koreatown, Los Angeles, California 90005, USA"
"New Paltz Neighbor to Neighbor","","https://docs.google.com/forms/d/e/1FAIpQLSdPvf109_31PMeVW1UJi2mc-cBoXqrNvxMZltbPXWRuObEyYw/viewform","","","New Paltz","NY","USA","New Paltz, New York, United States"
"Haight Neighborhood Help Group","","https://www.facebook.com/groups/214731853107680/","https://docs.google.com/forms/d/e/1FAIpQLSdVyyRhv2AxKHUoSXV-pvn6s1IX_BfW9J8wjkR11FcQ-i5aWw/viewform","https://www.facebook.com/groups/214731853107680/","San Francisco","CA","USA","San Francisco, California, United States"
"Southern Alameda County Mutual Aid Network","","https://www.facebook.com/groups/581603675902738/","","https://www.facebook.com/groups/581603675902738/","Fremont","CA","USA","Fremont, California, USA"
"The New School Student Mutual Aid Group","","https://forms.gle/kwWNwH3TmGz3AJQT8","","","New York City","NY","USA","New York City, New York, United States"
"COVID-19 Resource Spreadsheet","","https://docs.google.com/spreadsheets/d/19ulf0RqGhtTijdL3urOq5DLSlXQ7YbuXWTTuGuK3MUo/edit?fbclid=IwAR1HvKMli_9j5XjkBjguiPgPeaRbsDfaGaBe_Wsx65-SHybWDzj-TEuRmOU#gid=0","","","Greensboro","NC","USA","Greensboro, North Carolina, USA"
"Nevada / Las Vegas: Las Vegas DSA COVID-19 Mutual Aid Form","","https://docs.google.com/forms/d/e/1FAIpQLSeTcriSCf7XcSEC21ayAZmoytmrOkD7zB92z_d5UuTAynWo0g/viewform","https://docs.google.com/forms/d/e/1FAIpQLSeTcriSCf7XcSEC21ayAZmoytmrOkD7zB92z_d5UuTAynWo0g/viewform","","Las Vegas","NV","USA","Las Vegas, Nevada, USA"
"North Texas Mutual Aid Coalition","","https://ntxmutualaid.org/","https://docs.google.com/forms/d/e/1FAIpQLScnL2Cna1QVYTdsFsiLL3cyoj7uCeRDqHNKWK9CzB8AOviYbQ/viewform","","Dallas","TX","USA","Tejas, Bryan, Texas 77802, USA"
"Cascade Locks: Coronavirus Resources","","https://docs.google.com/document/d/1aRR5UXXiHMbM94cAjc6p2SJ47_yyzPFnCNUGysYrrCs/edit?usp=drivesdk","","","Cascade Locks","OR","USA","Cascade Locks, Oregon, USA"
"South Bend Mutual Aid","","https://linktr.ee/southbend_mutualaid","","","South Bend","IN","USA","South Bend, Indiana, United States"
"DC Mutual Aid (Multiple Neighborhood Groups)","","https://docs.google.com/spreadsheets/d/1wLncKL-9ixUFV_UIW08SO-MNVVMhupcK1sFtlTt5L3M/edit#gid=1634357411","","","Washington","DC","USA","Washington, DC, USA"
"West Chester IFC","","https://docs.google.com/forms/d/e/1FAIpQLSfRaAzoa_V0whmEN5mcLzyvmF40Z1X-D1rJyH6AV8g4O5UinQ/viewform?usp=sf_link","","","West Chester","PA","USA","West Chester, Pennsylvania, United States"
"Durham Mutual Aid","","https://durhammutualaid.org/","","https://www.facebook.com/groups/durhammutualaid/","Durham","NC","USA","Durham, North Carolina, USA"
"Community Support Project DSM","","https://forms.gle/7p49q1XkrqdnERuy7","https://forms.gle/7p49q1XkrqdnERuy7","","Des Moines","IA","USA","Des Moines, Iowa, USA"
"Berkeley, CA Mutual Aid Network","","https://www.berkeleymutualaid.org/","https://docs.google.com/forms/d/e/1FAIpQLSeW40KnpjDAW6Lkgi-ej17fEAh903PUPsxRZtib-Sv2ylWFyQ/viewform","","Berkeley","CA","USA","Berkeley, California, United States"
"Norman Community Relief - Volunteer Sign-up Form","","https://docs.google.com/forms/d/e/1FAIpQLSeJzEhGGaXUZC60uiOScPq16JRt345oEvpL6H7evEj-4PVejg/viewform","","","Norman","OK","USA","Norman, Oklahoma, USA"
"Meridian, ID COVID-19 M.A.G. (Mutual Aid Group)","","https://www.facebook.com/groups/634092660497074/about/","https://docs.google.com/forms/d/e/1FAIpQLSdGdTBq4W3nXmn7C9ruDRRh1sw2oqMlV_WT7-tbLEHaS0US7Q/viewform?usp=sf_link","https://www.facebook.com/groups/634092660497074/about/","Meridian","ID","USA","Meridian, Idaho, USA"
"Mutual Aid Dayton/Miami Valley","","https://docs.google.com/forms/d/e/1FAIpQLScdPCDu3-uo0t-JKNkm-J_yooPrin8nJagexqdt9l23XVgT_g/viewform","","","Dayton","OH","USA","Dayton, Ohio, USA"
