"Name","Listing Source","Homepage","OfferOrRequestForm","SocialMedia","City","State","Country","Address"
"Buddy System MIA","","http://www.buddysystemMIA.com","","","Miami","FL","USA","Miami, Florida, USA"
"Washtenaw County Mutual Aid Resources","","https://www.facebook.com/groups/2424471741198383/?ref=share","https://docs.google.com/forms/d/e/1FAIpQLSdhW2voPOll9Jmy_QR0AXk1Pge1JGn3tByJ-SlPfKNsMjcHLg/viewform","https://www.facebook.com/groups/2424471741198383/?ref=share","Ann Arbor","MI","USA","Ann Arbor, Michigan, United States"
"Denver Public Schools foundation","","https://www.dpsk12.org/coronavirus/","","","Denver","CO","USA","Denver, Colorado, United States"
"Huntington Delivery Team","","https://docs.google.com/forms/d/1HHE6cZKccnIBioAt0-qLuxeKuzU-DeG6gYNVIBjB_hs/viewform?fbclid=IwAR3AkXF5joHjl5LfqrsVEp5r0Y0RTmeK2BtaEMlXWbkZuekE4H3hyo9Eo0Y&edit_requested=true","","","Huntington","WV","USA","Huntington, West Virginia, USA"
"Mutual Aid Northeast Ohio","","https://www.facebook.com/groups/833037507201791/?ref=br_rs","","https://www.facebook.com/groups/833037507201791/?ref=br_rs","Cleveland","OH","USA","Cleveland, Ohio, USA"
"Bloomfield/Garfiend Cooperation","","https://bloomfield-garfield.org/uncategorized/covid-19-resources-get-help/","","","Pittsburgh","PA","USA","Pittsburgh, Pennsylvania, United States"
"ATX Mutual Aid for Covid19","","https://www.facebook.com/groups/2600062263571948/","","https://www.facebook.com/groups/2600062263571948/","Austin","TX","USA","Austin, Texas, USA"
"United Disaster Relief of Northern California","","https://www.facebook.com/mendolakecomplexfirerelief/","https://www.ncoinc.org/programs/volunteer-network/","https://www.facebook.com/mendolakecomplexfirerelief/","Ukiah","CA","USA","Ukiah, California, USA"
"Hamilton Community Response","","https://www.facebook.com/groups/Hamont.Response.COVID19/","","https://www.facebook.com/groups/Hamont.Response.COVID19/","Hamilton","ON","Canada","Hamilton, Ontario, Canada"
"Williams College Mutual Aid","","https://docs.google.com/forms/d/e/1FAIpQLSdeS2RWIjqvFmj6QiY2ur9P1rogCjrlAtMQgDwLxeMZKR4Ytg/viewform","https://docs.google.com/forms/d/e/1FAIpQLSdeS2RWIjqvFmj6QiY2ur9P1rogCjrlAtMQgDwLxeMZKR4Ytg/viewform","","Williamstown","MA","USA","Williamstown, Massachusetts, United States"
"Klamath Siskiyou Mutual Aid Network","","https://www.facebook.com/groups/218700056182795/?ref=br_rs","","https://www.facebook.com/groups/218700056182795/?ref=br_rs","Yreka","CA","USA","Yreka, California, United States"
"Elmhurst Tackles COVID-19 (ETC 19)","","https://www.facebook.com/groups/2749440901818281/?ref=bookmarks","","https://www.facebook.com/groups/2749440901818281/?ref=bookmarks","Elmhurst","IL","USA","Elmhurst, Illinois, United States"
"Minnesota / Minneapolis–Saint Paul: Twin Cities Queer and Trans Mutual Aid","","","","","Minneapolis","MN","USA","Minneapolis, Minnesota, United States"
"COVID-19 Resource Spreadsheet - Durham","","https://docs.google.com/spreadsheets/d/1oASQ_jeqC578BvcTtRLv7mj59TVJlR3Mx1LSTXaNpr0/edit?usp=drivesdk","","","Durham","NC","USA","Durham, North Carolina, USA"
"Kentucky / Lexington: Mutual Aid Lexington Kentucky","","https://docs.google.com/forms/d/e/1FAIpQLSeP4koOM1yO-tb6VicTWjZhCHTSrarceghikJROf6QL2Nc8eQ/viewform?fbclid=IwAR36e-f2AdpyseehKsQ-0NqfPLyOV-2PP0d6d3rEDgZO2O_u1ykne77n2po","","https://www.facebook.com/groups/199450304659978/","Lexington","KY","USA","Lexington, Kentucky, USA"
"Apart Not Alone - Baltimore","","https://apartnotalone.com/","","","Baltimore","MD","USA","Baltimore, Maryland, United States"
"Petworth mutual aid volunteer sign-up","","https://docs.google.com/forms/d/e/1FAIpQLSciJvF5ei9_IoWFpJo7I7rBFB8b-CjCzOxzLE3tBscOb4m98Q/closedform","","","Washington","DC","USA","Washington, DC, United States"
"Linn County, IA Coronavirus support, swap, resources group","","https://www.facebook.com/groups/881359378990113/","","https://www.facebook.com/groups/881359378990113/","Cedar Rapids","IA","USA","Cedar Rapids, Iowa, United States"
"Six Feet Supplies SCV","","https://www.sixfeetsupplies.com/","","","Valencia","CA","USA","Valencia, California, United States"
"Troy Mutual Aid Society 2020","","https://www.facebook.com/groups/220879635954876/","","https://www.facebook.com/groups/220879635954876/","Troy","NY","USA","Troy, New York, USA"
"Project Pasadena","","http://contact88536.wixsite.com/projectpasadena","https://www.projectpasadena.com/forum","https://www.facebook.com/ProjectPasadena/","Pasadena","CA","USA","Pasadena, California, United States"
"Hallowell All Age-Friendly Committee","","http://age-friendly-hallowell.org","","","Hallowell","ME","USA","Hallowell, Maine, USA"
"El Cerrito Mutual Aid Network","","https://docs.google.com/forms/d/e/1FAIpQLSf7xkSIiHpuq6lKG2r6C0-FnhpZH4JNe1xxsckDXLxu3eHJSQ/viewform","https://docs.google.com/forms/d/e/1FAIpQLSf7xkSIiHpuq6lKG2r6C0-FnhpZH4JNe1xxsckDXLxu3eHJSQ/viewform","","El Cerrito","CA","USA","El Cerrito, California, United States"
